epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,104.745,0.28203,0.99363,1,0.04342,0.000326241,0.000326241,0.0677021
2,210.254,0.1749,0.98089,1,0.16122,0.000659413,0.000659413,0.034702
3,313.768,0.11457,0.98089,1,0.065,0.000991938,0.000991938,0.00170116
4,416.839,0.12036,0.99363,1,0.02649,0.000997803,0.000997803,0.000997803
5,520.712,0.09598,0.98726,1,0.05135,0.000996097,0.000996097,0.000996097
6,623.787,0.1513,0.98726,1,0.04996,0.000993906,0.000993906,0.000993906
7,727.133,0.21021,1,1,0.0236,0.000991232,0.000991232,0.000991232
8,829.357,0.07372,0.98726,1,0.03889,0.000988079,0.000988079,0.000988079
9,930.83,0.07515,1,1,0.00825,0.000984449,0.000984449,0.000984449
10,1033.42,0.05559,0.99363,1,0.01471,0.000980345,0.000980345,0.000980345
11,1135.9,0.10476,0.99363,1,0.02593,0.000975773,0.000975773,0.000975773
12,1239.26,0.06113,0.97452,1,0.04122,0.000970736,0.000970736,0.000970736
13,1342.29,0.07364,0.99363,1,0.02253,0.000965239,0.000965239,0.000965239
14,1445.44,0.09767,0.98726,1,0.03585,0.000959289,0.000959289,0.000959289
15,1547.44,0.0873,0.98089,1,0.03176,0.000952889,0.000952889,0.000952889
16,1651.56,0.0924,0.98089,1,0.03347,0.000946048,0.000946048,0.000946048
17,1753.21,0.06446,0.98726,1,0.02448,0.000938772,0.000938772,0.000938772
18,1856.18,0.06712,0.97452,1,0.06213,0.000931067,0.000931067,0.000931067
19,1959.94,0.04978,0.98089,1,0.07634,0.000922942,0.000922942,0.000922942
20,2062.92,0.05612,0.98089,1,0.06161,0.000914405,0.000914405,0.000914405
21,2165,0.04932,0.98089,1,0.05362,0.000905463,0.000905463,0.000905463
22,2267.79,0.05,0.98089,1,0.04449,0.000896127,0.000896127,0.000896127
23,2371.68,0.03953,0.99363,1,0.0509,0.000886404,0.000886404,0.000886404
24,2475.89,0.04931,0.99363,1,0.03828,0.000876305,0.000876305,0.000876305
25,2581.14,0.06281,0.99363,1,0.06195,0.000865839,0.000865839,0.000865839
26,2686.49,0.04682,0.99363,1,0.02722,0.000855018,0.000855018,0.000855018
27,2792.87,0.05024,0.99363,1,0.05881,0.000843851,0.000843851,0.000843851
